filename,originalduration,speakingduration,begintime,endtime,gradelevel,intensity,f0,f1,f2,f3,snr,spr,score,accuracy,insertion,deletion,substitution,words
ks80rxx0,88.93,85.15,1.89,87.04,8,66.59,135.06,1514.41,3231.85,4678.03,-11.6818,5.50794886792714,6.52,0.52,38,22,12,151
ks814xx0,85.55,83.29,1.13,84.42,8,57.58,313.105457684123,1782.45,3482.66,4810.98,-17.574,6.630324533257,3.48,0.37,98,36,9,227
ks819xx0,68.93,67.83,0.55,68.38,8,60.52,329.350292199559,1740.73,3448.18,4934.14,-16.0519,7.19260975253617,3.3,0.28,82,20,5,149
ks82uxx0,146.01,144.79,0.61,145.4,8,58.5,140.62,1540.82,3231.19,4753.88,0.0682,7.21509570984586,6,0.63,47,25,18,243
ks839xx0,124.24,122.98,0.63,123.61,8,51.3,155.2,1684.75,3358.84,4815.7,-4.1134,7.36599067856241,5.13,0.41,95,34,11,238
ks83kxx0,110.72,110.72,0,110.72,8,36.24,261.284986766219,2161.32,3720.69,5074.1,-12.6984,3.96659142660429,3.05,0.31,84,19,5,157
ks83uxx0,117.71,116.81,0.45,117.26,8,46.22,103.82,1867.04,3597.51,4933.8,-10.2034,6.30907168615435,6.59,0.63,18,35,16,187
ksf07xx0,57.37,57.37,0,57.37,4,49.08,218.7,2064.79,3750.14,5085.1,-23.2772,8.28252733081533,7.6,0.75,3,3,6,48
ksf0kxx0,104.92,102.1,1.41,103.51,4,51.06,257.764402617611,2181.78,3659.16,5061.24,-20.6907,6.74907824179319,4.73,0.26,59,21,12,124
ksf0uxx0,68.77,65.69,1.54,67.23,4,47.89,209.52,2084.59,3624.28,4966.13,-20.9601,7.9390080559567,7.6,0.72,9,7,13,104
